Country,GDP_USD_million,GDP_USD_billion
United States,,268545.99
China,,193735.86
Japan,,44097.38
Germany,,43088.54
India,,37368.82
United Kingdom,,31589.38
France,,29234.89
Italy,,21697.45
Canada,,20896.72
Brazil,,20812.35
Russia,,20626.49
South Korea,,17219.09
Australia,,17075.48
Mexico,,16631.64
Spain,,14924.32
Indonesia,,13917.78
Netherlands,,10808.8
Saudi Arabia,,10619.02
Turkey,,10293.03
Switzerland,,8696.01
Taiwan,,7907.28
Poland,,7488.87
Argentina,,6411.02
Belgium,,6242.48
Sweden,,5990.52
Ireland,,5940.95
Thailand,,5742.31
Norway,,5541.05
Israel,,5392.23
Singapore,,5155.48
Austria,,5151.99
Nigeria,,5066.01
United Arab Emirates,,4989.78
Vietnam,,4490.94
Malaysia,,4470.26
Philippines,,4409.01
Bangladesh,,4205.16
Denmark,,4056.26
South Africa,,3990.15
Hong Kong,,3828.54
Egypt,,3781.1
Iran,,3679.7
Chile,,3585.57
Romania,,3489.02
Colombia,,3346.89
Czech Republic,,3304.83
Finland,,3016.7
Peru,,2682.35
Iraq,,2678.93
Portugal,,2677.21
New Zealand,,2519.69
Kazakhstan,,2456.95
Greece,,2393.0
Qatar,,2195.7
Algeria,,2060.07
Hungary,,1885.05
Kuwait,,1647.13
Ethiopia,,1560.83
Ukraine,,1487.12
Morocco,,1387.81
Slovakia,,1275.33
Ecuador,,1212.91
Dominican Republic,,1212.89
Puerto Rico,,1208.38
Kenya,,1181.3
Angola,,1178.77
Oman,,1049.02
Guatemala,,1023.09
Bulgaria,,1006.35
Venezuela,,966.28
Uzbekistan,,923.32
Luxembourg,,869.71
Tanzania,,854.21
Turkmenistan,,826.49
Croatia,,788.81
Lithuania,,783.46
Costa Rica,,777.77
Uruguay,,773.13
Panama,,772.57
Ivory Coast,,770.47
Serbia,,739.61
Belarus,,735.43
Azerbaijan,,700.3
DR Congo,,694.74
Slovenia,,681.08
Ghana,,666.22
Myanmar,,639.88
Jordan,,520.61
Tunisia,,498.15
Uganda,,497.92
Cameroon,,486.25
Latvia,,473.98
Sudan,,467.05
Libya,,462.97
Bolivia,,460.97
Bahrain,,448.7
Paraguay,,428.2
Nepal,,420.97
Estonia,,415.51
Macau,,358.41
El Salvador,,337.52
Honduras,,328.6
Papua New Guinea,,313.62
Senegal,,312.21
Cyprus,,308.64
Cambodia,,306.28
Zimbabwe,,299.31
Zambia,,292.72
Iceland,,286.25
Bosnia and Herzegovina,,284.88
Trinidad and Tobago,,282.23
Georgia,,279.47
Haiti,,265.8
Armenia,,237.25
Guinea,,233.3
Burkina Faso,,210.76
Mali,,207.76
Gabon,,203.3
Albania,,201.77
Mozambique,,199.09
Palestine,,192.06
Botswana,,195.72
Yemen,,195.29
Malta,,194.05
Benin,,192.36
Nicaragua,,172.87
Jamaica,,172.54
Mongolia,,169.08
Niger,,166.17
Guyana,,163.09
Brunei,,159.88
Madagascar,,159.69
Moldova,,158.29
North Macedonia,,152.78
Equatorial Guinea,,150.99
Mauritius,,145.7
Bahamas,,141.14
Laos,,140.91
Namibia,,134.86
Rwanda,,131.49
Congo,,130.31
Tajikistan,,127.96
Kyrgyzstan,,123.09
Chad,,119.62
Malawi,,112.77
Mauritania,,109.66
Kosovo,,99.9
Togo,,90.01
Somalia,,87.38
Montenegro,,70.27
South Sudan,,70.12
Maldives,,70.04
Barbados,,61.17
Fiji,,53.85
Eswatini,,48.24
Liberia,,43.75
Djibouti,,39.16
Andorra,,36.69
Aruba,,36.33
Sierra Leone,,35.2
Suriname,,34.7
Burundi,,32.34
Belize,,31.62
Central African Republic,,27.36
Bhutan,,26.83
Eritrea,,26.66
Lesotho,,25.84
Cape Verde,,24.68
Gambia,,22.77
Saint Lucia,,22.62
East Timor,,19.88
Seychelles,,19.5
Guinea-Bissau,,18.87
Antigua and Barbuda,,18.64
San Marino,,18.07
Solomon Islands,,17.01
Comoros,,13.48
Grenada,,12.74
Vanuatu,,10.64
Saint Kitts and Nevis,,10.52
Saint Vincent and the Grenadines,,10.39
Samoa,,8.98
Dominica,,6.81
São Tomé and Príncipe,,6.25
Tonga,,5.41
Micronesia,,4.56
Marshall Islands,,2.91
Palau,,2.62
Kiribati,,2.48
Nauru,,1.51
Tuvalu,,0.65
