,Country,GDP (Millions of USD)
0,World,109529216.0
1,United States,28781083.0
2,China,18532633.0
3,Germany,4591100.0
4,Japan,4110452.0
5,India,3937011.0
6,United Kingdom,3495261.0
7,France,3130014.0
8,Brazil,2331391.0
9,Italy,2328028.0
10,Canada,2242182.0
11,Russia,2056844.0
12,Mexico,2017025.0
13,Australia,1790348.0
14,South Korea,1760947.0
15,Spain,1647114.0
16,Indonesia,1475690.0
17,Netherlands,1142513.0
18,Turkey,1113561.0
19,Saudi Arabia,1106015.0
20,Switzerland,938458.0
21,Poland,844623.0
22,Taiwan,802958.0
23,Belgium,655192.0
24,Sweden,623048.0
25,Argentina,604260.0
26,Ireland,564020.0
27,Thailand,548890.0
28,Austria,540887.0
29,Israel,530664.0
30,United Arab Emirates,527796.0
31,Norway,526951.0
32,Singapore,525228.0
33,Philippines,471516.0
34,Vietnam,465814.0
35,Iran,464181.0
36,Bangladesh,455162.0
37,Malaysia,445519.0
38,Denmark,409989.0
39,Hong Kong,406775.0
40,Colombia,386076.0
41,South Africa,373233.0
42,Romania,369971.0
43,Egypt,347594.0
44,Pakistan,338237.0
45,Chile,333760.0
46,Czech Republic,325880.0
47,Finland,308055.0
48,Portugal,298949.0
49,Kazakhstan,296740.0
50,Peru,282458.0
51,Algeria,266780.0
52,Iraq,265894.0
53,New Zealand,257625.0
54,Nigeria,252738.0
55,Greece,250276.0
56,Qatar,244686.0
57,Hungary,223413.0
58,Ethiopia,205130.0
59,Ukraine,188943.0
60,Kuwait,160397.0
61,Morocco,152377.0
62,Slovakia,140808.0
63,Dominican Republic,127356.0
64,Ecuador,121592.0
65,Puerto Rico,117763.0
66,Guatemala,110035.0
67,Oman,108927.0
68,Bulgaria,107933.0
69,Kenya,104001.0
70,Venezuela,102328.0
71,Uzbekistan,97956.0
72,Costa Rica,96058.0
73,Angola,92123.0
74,Luxembourg,88556.0
75,Croatia,88076.0
76,Panama,87347.0
77,Ivory Coast,86911.0
78,Uruguay,82605.0
79,Turkmenistan,81896.0
80,Serbia,81873.0
81,Lithuania,81170.0
82,Tanzania,79605.0
83,Azerbaijan,78749.0
84,Ghana,75244.0
85,Sri Lanka,74846.0
86,DR Congo,73761.0
87,Slovenia,72101.0
88,Belarus,69048.0
89,Myanmar,68006.0
90,Uganda,56310.0
91,Tunisia,54708.0
92,Macau,54677.0
93,Jordan,53570.0
94,Cameroon,53205.0
95,Bolivia,49334.0
96,Libya,48221.0
97,Bahrain,46790.0
98,Paraguay,45817.0
99,Latvia,45466.0
100,Cambodia,45150.0
101,Nepal,44179.0
102,Estonia,43486.0
103,Honduras,37355.0
104,Senegal,35450.0
105,El Salvador,35333.0
106,Zimbabwe,34405.0
107,Cyprus,34221.0
108,Iceland,33338.0
109,Georgia,32865.0
110,Papua New Guinea,31716.0
111,Zambia,29872.0
112,Bosnia and Herzegovina,29078.0
113,Trinidad and Tobago,28365.0
114,Sudan,26865.0
115,Guinea,25447.0
116,Albania,25431.0
117,Armenia,25408.0
118,Haiti,24046.0
119,Mozambique,22975.0
120,Malta,22737.0
121,Mongolia,21943.0
122,Burkina Faso,21902.0
123,Lebanon,21780.0
124,Mali,21662.0
125,Botswana,21418.0
126,Benin,21371.0
127,Guyana,21178.0
128,Gabon,21013.0
129,Jamaica,20098.0
130,Nicaragua,18829.0
131,Niger,18816.0
132,Chad,18697.0
133,Palestine,18602.0
134,Moldova,18356.0
135,Yemen,16940.0
136,Madagascar,16465.0
137,Mauritius,16359.0
138,North Macedonia,15873.0
139,Brunei,15510.0
140,Congo,15501.0
141,Laos,15190.0
142,Afghanistan,14467.0
143,Bahamas,14390.0
144,Rwanda,13701.0
145,Kyrgyzstan,13599.0
146,Tajikistan,12953.0
147,Somalia,12804.0
148,Namibia,12765.0
149,Kosovo,11318.0
150,Malawi,11241.0
151,Equatorial Guinea,10708.0
152,Mauritania,10628.0
153,Togo,9832.0
154,Montenegro,8010.0
155,Maldives,7199.0
156,Barbados,6863.0
157,South Sudan,6517.0
158,Fiji,5801.0
159,Eswatini,5085.0
160,Liberia,4754.0
161,Sierra Leone,4558.0
162,Djibouti,4364.0
163,Suriname,4337.0
164,Aruba,4069.0
165,Andorra,3897.0
166,Belize,3296.0
167,Bhutan,3110.0
168,Burundi,3075.0
169,Central African Republic,2810.0
170,Cape Verde,2718.0
171,Gambia,2694.0
172,Saint Lucia,2582.0
173,Lesotho,2395.0
174,Seychelles,2203.0
175,Guinea-Bissau,2151.0
176,Antigua and Barbuda,2127.0
177,San Marino,2033.0
178,East Timor,1992.0
179,Solomon Islands,1707.0
180,Comoros,1422.0
181,Grenada,1406.0
182,Vanuatu,1289.0
183,Saint Kitts and Nevis,1134.0
184,Saint Vincent and the Grenadines,1128.0
185,Samoa,1024.0
186,São Tomé and Príncipe,751.0
187,Dominica,708.0
188,Tonga,581.0
189,Micronesia,484.0
190,Kiribati,311.0
191,Palau,308.0
192,Marshall Islands,305.0
193,Nauru,161.0
194,Tuvalu,66.0
